countryName,countryCode,emissionPerCap,totalEmission,continent
조선선재,A,12.1,12.1,제조업
조아제약,A,31.2,31.2,제조업
조은세이프,A,0,0,"사업시설 관리, 사업 지원 및 임대 서비스업"
조은시스템,A,0,0,"사업시설 관리, 사업 지원 및 임대 서비스업"
조은저축은행,A,31.1,31.1,금융 및 보험업
조이맥스,A,35.4,35.4,정보통신업
조이시티,A,13.7,13.7,정보통신업
조일알미늄,A,25.9,25.9,제조업
조흥,A,21,21,제조업
종근당,A,15,15,제조업
종근당바이오,A,43.1,43.1,제조업
종근당홀딩스,A,27.5,27.5,금융 및 보험업
좋은사람들,A,5.1,5.1,제조업
주노콜렉션,A,36.1,36.1,제조업
주성엔지니어링,A,47.8,47.8,제조업
주연테크,A,32.2,32.2,제조업
줌인터넷,A,24.6,24.6,정보통신업
중소기업은행,A,40.2,40.2,금융 및 보험업
중앙백신연구소,A,17.8,17.8,제조업
중앙에너비스,A,50.8,50.8,도매 및 소매업
중앙일보,A,27.1,27.1,정보통신업
지노믹트리,A,9.8,9.8,"전문, 과학 및 기술 서비스업"
지누스,A,18.6,18.6,도매 및 소매업
지니뮤직,A,43.5,43.5,정보통신업
지니언스,A,12.9,12.9,정보통신업
지디,A,16.5,16.5,제조업
지디케이화장품,A,27.5,27.5,제조업
지란지교시큐리티,A,21.8,21.8,정보통신업
지성이씨에스,A,27.2,27.2,건설업
울진유통농업회사법인,A,-5.1,-5.1,도매 및 소매업
지스마트글로벌,A,23.8,23.8,제조업
지아이티,A,21.3,21.3,제조업
지앤엘,A,20,20,"예술, 스포츠 및 여가관련 서비스업"
지어소프트,A,30.5,30.5,정보통신업
지에스건설,A,41.4,41.4,건설업
지에스글로벌,A,53.7,53.7,도매 및 소매업
지에스리테일,A,38.3,38.3,도매 및 소매업
지에스엔텍,A,39.3,39.3,제조업
지에스엘제약,A,39.3,39.3,제조업
지에스이,A,36.1,36.1,"전기, 가스, 증기 및 공기 조절 공급업"
지에스이앤알,A,41.5,41.5,"전기, 가스, 증기 및 공기 조절 공급업"
지에스이피에스,A,32.4,32.4,"전기, 가스, 증기 및 공기 조절 공급업"
지에스홈쇼핑,A,30.6,30.6,정보통신업
지에이치신소재,A,15,15,제조업
지엔씨에너지,A,16.1,16.1,제조업
지엔코,A,24.7,24.7,제조업
지엔티파마,A,36.3,36.3,"전문, 과학 및 기술 서비스업"
지엘팜텍,A,15.3,15.3,"전문, 과학 및 기술 서비스업"
지엠비코리아,A,14.7,14.7,제조업
지엠알머티리얼즈,A,52.9,52.9,"수도, 하수 및 폐기물 처리, 원료 재생업"
지엠피,A,28.9,28.9,제조업
지오씨,A,33.6,33.6,제조업
지오엠씨,A,40.4,40.4,제조업
지와이커머스,A,25.6,25.6,제조업
지코,A,44,44,제조업
지투알,A,39.7,39.7,"전문, 과학 및 기술 서비스업"
지트리비앤티,A,36.8,36.8,제조업
지티지웰니스,A,29.1,29.1,제조업
지허브,A,60,73.1,운수 및 창고업
진도,A,57.2,57.2,도매 및 소매업
에코솔루션,A,-4.9,-4.9,제조업
진매트릭스,A,30,30,"전문, 과학 및 기술 서비스업"
진바이오텍,A,28.7,28.7,제조업
진성티이씨,A,32.5,32.5,제조업
진양산업,A,7.1,7.1,제조업
진양제약,A,30.2,30.2,제조업
에스앤디,A,-4.9,-4.9,제조업
진양화학,A,12.5,12.5,제조업
진에어,A,48.5,48.5,운수 및 창고업
진원생명과학,A,9.1,9.1,제조업
진코스텍,A,60,63.1,제조업
진흥기업,A,31.7,31.7,건설업
차바이오텍,A,29.3,29.3,제조업
참엔지니어링,A,33.5,33.5,제조업
참좋은여행,A,20,20,"사업시설 관리, 사업 지원 및 임대 서비스업"
창원컨트리클럽,A,21.9,21.9,"예술, 스포츠 및 여가관련 서비스업"
창해에탄올,A,25.4,25.4,제조업
천일고속,A,56.7,56.7,운수 및 창고업
천지산업,A,20.5,20.5,도매 및 소매업
청광종합건설,A,44.4,44.4,건설업
청담러닝,A,26.7,26.7,교육 서비스업
청보산업,A,26.1,26.1,제조업
청호컴넷,A,14.5,14.5,제조업
체리부로,A,7.7,7.7,제조업
초록뱀미디어,A,55.7,55.7,정보통신업
칩스앤미디어,A,40.2,40.2,정보통신업
카스,A,33.3,33.3,도매 및 소매업
카이노스메드,A,28.4,28.4,"전문, 과학 및 기술 서비스업"
카카오,A,34.5,34.5,정보통신업
카카오엠,A,39,39,제조업
카테아,A,28.5,28.5,도매 및 소매업
카페24,A,27,27,정보통신업
카페베네,A,33.8,33.8,제조업
카프로,A,28.6,28.6,제조업
캐스텍코리아,A,31.2,31.2,제조업
캔서롭,A,40.2,40.2,"전문, 과학 및 기술 서비스업"
캠시스,A,27.3,27.3,제조업
컨버즈,A,54.2,54.2,제조업
컴투스,A,32.7,32.7,정보통신업
케미메디,A,27.8,27.8,"전문, 과학 및 기술 서비스업"
케어랩스,A,43,43,정보통신업
케어젠,A,1.5,1.5,제조업
케이디비생명보험,A,41.8,41.8,금융 및 보험업
케이디켐,A,39.8,39.8,제조업
케이맥,A,16.7,16.7,제조업
